ID PUMS Occupation,PUMS Occupation,Average Wage (2014),Average Wage (2015),Average Wage (2016),Average Wage (2017),Average Wage (2018),Average Wage (2019),Average Wage Appx MOE (2014),Average Wage Appx MOE (2015),Average Wage Appx MOE (2016),Average Wage Appx MOE (2017),Average Wage Appx MOE (2018),Average Wage Appx MOE (2019)
"119161","Emergency management directors",52957.96463100226,55294.075405829986,66601.99662243667,64114.248432002445,70625.58872911645,70586.76531277795,8930.96596118948,8245.447532316155,13844.981528462731,10661.266168067368,12762.73000808328,14361.340784556449
"1191XX","Other managers",,,,,81551.87862464933,83171.23855420873,,,,,1068.4183752837282,1052.4435715071033
"131011","Agents & business managers of artists, performers, & athletes",46197.42183489965,53090.601660659886,53331.91984392816,49250.01714795254,60772.18884009811,72493.82896595301,7711.402676615661,11426.997293101178,7913.545984160205,7405.154629339123,11565.180784425971,12715.032667718588
"131021","Buyers & purchasing agents, farm products",51513.57663487738,39003.71076495539,52860.133258573966,52326.59082910672,49284.85777891943,42788.86323514827,16693.250436791237,9775.745258626077,10660.341011897666,13763.94965688828,10783.02262951844,11550.69372101791
"131022","Wholesale & retail buyers, except farm products",33377.950860626246,33000.15979954795,34408.013999735704,35256.9491755666,34923.43160778387,37410.07306316151,2096.5550044378324,1822.511623274015,2115.231031954933,2260.179227871305,2043.367247222164,2355.601407926526
"131023","Purchasing agents, except wholesale, retail, & farm products",50958.27205165323,50280.22700701844,50590.97289846467,52411.28001418861,56123.482254242284,55048.06547082761,1954.9387912296957,1863.0776290858057,1783.3117572810493,2133.771638606903,2088.929402776351,2068.563370332266
"131030","Claims adjusters, appraisers, examiners, & investigators",46941.992317224285,48840.31107089441,50860.68982057734,51112.680252224425,54438.227902134866,52878.81953372447,1436.7187985707064,1747.348478333128,1622.1774525273245,1531.7132062557591,1686.2711570622505,1540.8985161225785
"131041","Compliance officers",65745.62134653627,65416.17603800852,69019.34108347459,70969.61354502047,70432.89760721374,71508.39677607651,3283.3984208574634,2874.31722698927,3063.413326925401,2860.0884488016427,2583.139229834085,2858.254667276116
"131051","Cost estimators",55876.253859200464,55187.54731421028,59305.796919847766,59007.37522447348,65098.33941346118,62598.85844738895,2917.094175197208,3093.0977943742164,3181.173938428491,3018.233185160415,3678.749007203895,2863.3336458974377
"131070","Human resources workers",54664.814286235436,55444.477404421705,57335.36515070265,58966.79363883012,61282.71916251651,60579.84853113706,1447.0936533894967,1523.6970303291653,1417.9006129776485,1438.2247952353143,1434.9638294504412,1412.3264990140165
"131081","Logisticians",49852.880815870194,49099.320498402325,52193.1401159047,52464.44586646856,52983.16042209235,52755.10299288016,3004.468687695642,2317.354871707104,2574.7235403944355,2656.4480234408607,2918.3321197649652,2224.072689205658
"131082","Project management specialists",,,,,85846.81864248517,84323.11891981386,,,,,1749.488299393041,1667.8105482292435
