,Insitution
4719,American InterContinental University-Houston
4720,University of California-Merced
4721,Remington College-North Houston Campus
4722,Paul Mitchell the School-Orlando
4723,Pima Medical Institute-Las Vegas
4724,Remington College-Nashville Campus
4725,Platt College-OKC-Memorial
4726,Central Methodist University-College of Graduate and Extended Studies
4727,University of Phoenix-New Jersey
4728,North-West College-Riverside
4729,Altierus Career College-Bissonnet
4730,Colegio Tecnico de Electricidad Galloza
4731,Spa Tech Institute-Ipswich
4732,Spa Tech Institute-Westboro
4733,Spa Tech Institute-Plymouth
4734,Neumont College of Computer Science
4735,Johnson & Wales University-Charlotte
4736,Roseman University of Health Sciences
4737,Fortis Institute-Port Saint Lucie
4738,Aviation Institute of Maintenance-Manassas
4739,Cosmetology School of Arts and Science LLC
4740,Universal Technical Institute of Pennsylvania Inc
4741,Kenneth Shuler School of Cosmetology-Spartanburg
4742,Kenneth Shuler School of Cosmetology-Columbia
4743,Divine Mercy University
4744,Lincoln Technical Institute-Shelton
4745,Northwest Career College
4746,Soma Institute-The National School of Clinical Massage Therapy
4747,American Academy of Acupuncture and Oriental Medicine
4748,Arizona School of Acupuncture and Oriental Medicine
4749,Ave Maria University
4750,CALC Institute of Technology
4751,Cambridge Junior College-Yuba City
4752,Cambridge Institute of Allied Health & Technology
4753,Career Care Institute
4754,ATA Career Education
4755,Career Quest Learning Centers-Lansing
4756,Community Christian College
4757,Culpeper Cosmetology Training Center
4758,Eastern School of Acupuncture and Traditional Medicine
4759,Ecclesia College
4760,Employment Solutions-College for Technical Education
4761,Estelle Medical Academy
4762,Evergreen Beauty and Barber College-Everett
4763,Paul Mitchell the School-Great Lakes
4764,Healthcare Training Institute
4765,John D Rockefeller IV Career Center
4766,Los Angeles College of Music
4767,Maple Springs Baptist Bible College and Seminary
4768,Precision Manufacturing Institute
4769,Rosslyn Training Academy of Cosmetology
4770,SAE Institute of Technology-Nashville
4771,eClips School of Cosmetology and Barbering
4772,Stanbridge University
4773,Universal Career School
4774,Universal College of Healing Arts
4775,Uta Mesivta of Kiryas Joel
4776,W L Bonner College
4777,Harrisburg University of Science and Technology
4778,Blue Ridge Community and Technical College
4779,Colorado State University-System Office
4780,Chambersburg Beauty School
4781,Daytona College
4782,Delta Technical College
4783,United States University
4784,Empire Beauty School-Avondale
4785,Empire Beauty School-Littleton
4786,Empire Beauty School-Aurora
4787,AmeriTech College-Draper
4788,San Joaquin Valley College-Modesto
4789,Platt College-Moore
4790,Universal Technical Institute of Massachusetts Inc
4791,Eagle Gate College-Layton
4792,Carsten Institute of Cosmetology
4793,Academy of Hair Design-Jasper
4794,SAE Expression College
4795,Unitech Training Academy-West Monroe
4796,New River Community and Technical College
4797,The College of Health Care Professions-Southwest Houston
4798,United Education Institute-Chula Vista
4799,United Education Institute-West Covina
4800,Georgia Gwinnett College
4801,Phoenix Institute of Herbal Medicine & Acupuncture
4802,Tucson College of Beauty
4803,California Career College
4804,Palladium Technical Academy Inc
4805,Palace Beauty College
4806,National Polytechnic College
4807,American Career College-Ontario
4808,Asher College
4809,American Institute of Massage Therapy
4810,University of East-West Medicine
4811,Blake Austin College
4812,Aviator College of Aeronautical Science and Technology
4813,Trendsetters School of Beauty & Barbering
4814,CDA Technical Institute
4815,American Institute of Beauty
4816,North Florida Cosmetology Institute
4817,Florida Academy of Health & Beauty
4818,Augusta School of Massage
4819,SUM Bible College and Theological Seminary
4820,Compass Career College
4821,Hair Expressions Academy
4822,Nuvo College of Cosmetology
4823,WellSpring School of Allied Health-Kansas City
4824,Institute of Health & Technology
4825,The Salon Professional Academy-Fargo
4826,Institute of Professional Careers
4827,Aveda Institute-New York
4828,MyrAngel Beauty Institute
4829,Texas Health School
4830,Paul Mitchell the School-Logan
4831,Careers Unlimited
4832,Mountainland Technical College
4833,Avi Career Training
4834,Mountain State School of Massage
4835,Arkansas State University System
4836,Eastern International College-Belleville
4837,San Joaquin Valley College-Rancho Cordova
4838,San Joaquin Valley College-Central Administrative Office
4839,Broken Arrow Beauty College
4840,Universal Technical Institute of Northern California Inc
4841,West Hills College-Lemoore
4842,Stautzenberger College-Brecksville
4843,Stone Academy-East Hartford
4844,West Hills Community College District
4845,Unitech Training Academy-Houma
4846,Rasmussen University-Illinois
4847,International Institute for Restorative Practices
4848,Educational Technical College-Recinto de Coamo
4849,CollegeAmerica-Colorado Springs
4850,CollegeAmerica-Fort Collins
4851,Automotive Training Center-Warminster
4852,Empire Beauty School-Milwaukee
4853,University of South Florida-St Petersburg
4854,Triangle Tech Inc-Bethlehem
4855,Arizona State University-Downtown Phoenix
4856,Milan Institute-Fresno
4857,Harris School of Business-Linwood Campus
4858,Strayer University-Florida
4859,Pima Medical Institute-Renton
4860,College of Business and Technology-Main Campus
4861,College of Business and Technology-Hialeah
4862,Dewey University-Juana Díaz
4863,The College of Health Care Professions-San Antonio
4864,Lincoln Technical Institute-Whitestone
4865,American Public University System
4866,Huntsville Bible College
4867,Beaumont Adult School
4868,Make-up Designory
4869,Gnomon
4870,Coachella Valley Beauty College
4871,Valley College of Medical Careers
4872,Academy of Natural Therapy Inc
4873,Academy Di Capelli-School of Cosmetology
4874,Delaware Learning Institute of Cosmetology
4875,Dragon Rises College of Oriental Medicine
4876,Palm Beach Academy of Health & Beauty
4877,SABER College
4878,Taylor College
4879,Pensacola School of Massage Therapy & Health Careers
4880,Ideal Beauty Academy
4881,Denmark College
4882,Louisiana Culinary Institute
4883,Bais Medrash Toras Chesed
4884,Center for Natural Wellness School of Massage Therapy
4885,Ace Institute of Technology
4886,New Age Training
4887,Dayton School of Medical Massage
4888,Northcoast Medical Training Academy
4889,Visible Music College
4890,CCI Training Center-Arlington
4891,Champion Beauty College
4892,Southeast Texas Career Institute
4893,Southwest Technical College
4894,Virginia Beach Theological Seminary
4895,Milwaukee Career College
4896,University of the West
4897,American College of Education
4898,South University-Tampa
4899,Milan Institute of Cosmetology-San Antonio Military
4900,Appalachian College of Pharmacy
4901,Averett University-Non-Traditional Programs
4902,Paul Mitchell the School-Tampa
4903,Paul Mitchell the School-San Diego
4904,Paul Mitchell the School-Michigan
4905,Paul Mitchell the School-Sherman Oaks
4906,Paul Mitchell the School-Tysons Corner
4907,Blue Cliff College-Houma
4908,Fortis College-Columbus
4909,Fortis College-Cincinnati
4910,Blue Cliff College-Fayetteville
4911,Blue Cliff College-Alexandria
4912,Strayer University-Delaware
4913,Brite Divinity School
4914,Strayer University-Alabama
4915,Brown Aveda Institute-Strongsville
4916,Clary Sage College
4917,Rasmussen University-Wisconsin
4918,Empire Beauty School-Richmond
4919,Empire Beauty School-North Hills
4920,Empire Beauty School-Concord
4921,Lexington Healing Arts Academy
4922,Empire Beauty School-Hooksett
4923,The Institute of Beauty and Wellness
4924,Carrington College-Stockton
4925,Carrington College-Citrus Heights
4926,Euphoria Institute of Beauty Arts & Sciences-Summerlin
4927,Columbia Southern University
4928,Arizona Culinary Institute
4929,Healthcare Career College
4930,Trident University International
4931,Coastline Beauty College
4932,Montessori Casa International
4933,Branford Academy of Hair and Cosmetology
4934,Academy of Massage and Bodywork
4935,Academy for Five Element Acupuncture
4936,Academy of Career Training
4937,Miami Regional University
4938,Paul Mitchell the School-Miami
4939,Aveda Institute-South Florida
4940,Aveda Institute-Tallahassee
4941,Shear Excellence Hair Academy
4942,Carlson College of Massage Therapy
4943,MyComputerCareer.com
4944,Z Hair Academy
4945,DiGrigoli School of Cosmetology
4946,Millennium Training Institute
4947,Elevate Salon Institute
4948,Lakewood School of Therapeutic Massage
4949,The Salon Professional Academy-Battle Creek
4950,Trend Setters School
4951,Academy of Hair Design-Springfield
4952,Corinth Academy of Cosmetology
4953,Southeastern College-Charlotte
4954,Yeshivas Be'er Yitzchok
4955,Yeshiva Toras Chaim
4956,Talmudical Seminary of Bobov
4957,Center for Allied Health Education
4958,Monroe 2 Orleans BOCES-Center for Workforce Development
4959,Aveda Fredric's Institute-Cincinnati
4960,MyComputerCareer.edu-Columbus
4961,CDE Career Institute
4962,Instituto Educativo Premier
4963,Charleston School of Law
4964,Elite College of Cosmetology
4965,Manuel and Theresa's School of Hair Design-Bryan
4966,Southwest University at El Paso
4967,Paul Mitchell the School-Austin
4968,Aveda Institute-Provo
4969,Dixie Technical College
4970,Victoria's Academy of Cosmetology
4971,Inland Massage Institute
4972,University of South Florida-Sarasota-Manatee
4973,Paul Mitchell the School-San Antonio
4974,CEM College-Bayamon
4975,Bryant & Stratton College-Wauwatosa
4976,The Art Institute of Austin
4977,Remington College-Houston Southeast Campus
4978,Remington College-Shreveport Campus
4979,Fortis College-Landover
4980,Patrick Henry College
4981,The Hair Academy
4982,Ross Medical Education Center-New Baltimore
4983,Ross College-Sylvania
4984,Escuela De Troqueleria Y Herramentaje
4985,Fortis Institute-Nashville
4986,ATA College-Cincinnati
4987,Community Technology Learning Center of Portage
4988,Dental Assistant Pro LLC-Columbus
4989,Dental Assistant Pro-Lebanon
4990,Elite Welding Academy LLC
4991,Galen College of Nursing-Cincinnati
4992,Strayer University-North Carolina
4993,Strayer University-New Jersey
4994,International Culinary Arts and Sciences Institute
4995,Ohio Media School-Columbus
4996,Ohio Medical Career College
4997,The King's College
4998,Chamberlain University-Administrative Office
4999,Chamberlain University-Illinois
5000,Chamberlain University-Ohio
5001,Chamberlain University-Arizona
5002,Career Quest Learning Centers-Jackson
5003,The Salon Professional Academy-Appleton
5004,Milan Institute of Cosmetology-Fairfield
5005,Milan Institute of Cosmetology-Reno
5006,Ottawa University-Online
5007,Paul Mitchell the School-Esani
5008,Institute of Production and Recording
5009,Paul Mitchell the School-Birmingham
5010,Taft University System
5011,Mayfield College
5012,Academy of Esthetics and Cosmetology
5013,Borner's Barber College
5014,Paul Mitchell the School-Pasadena
5015,San Francisco Institute of Esthetics & Cosmetology Inc
5016,Laurus College
5017,Healing Hands School of Holistic Health
5018,Career Development Institute Inc
5019,Auguste Escoffier School of Culinary Arts-Boulder
5020,Aspen University
5021,Institute of Taoist Education and Acupuncture
5022,Denver College of Nursing
5023,Cambridge College of Healthcare & Technology
5024,Cozmo Beauty School
5025,Celebrity School of Beauty
5026,Paul Mitchell the School-Atlanta
5027,Evans Hairstyling College-Rexburg
5028,Paul Mitchell the School-Rexburg
5029,University of Aesthetics & Cosmetology
5030,The University of Aesthetics & Cosmetology
5031,Tricoci University of Beauty Culture-Chicago NW
5032,Tricoci University of Beauty Culture-Glendale Heights
5033,Tricoci University of Beauty Culture-Peoria
5034,Tricoci University of Beauty Culture-Rockford
5035,Omega Studios' School of Applied Recording Arts & Sciences
5036,French Academy of Cosmetology
5037,Healing Arts Center
5038,Paul Mitchell the School-Springfield
5039,Urshan Graduate School of Theology
5040,Mississippi Institute of Aesthetics Nails & Cosmetology
5041,College of Western Idaho
5042,Aveda Institute-Chapel Hill
5043,Daoist Traditions College of Chinese Medical Arts
5044,Total Image Beauty Academy
5045,Jersey College
5046,American Institute of Medical Sciences & Education
5047,Casal Institute of Nevada
5048,Career School of NY
5049,John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry
5050,Yeshiva of Machzikai Hadas
5051,Aveda Institute-Columbus
5052,Paul Mitchell the School-Cincinnati
5053,Hands on Therapy
5054,MediaTech Institute-Dallas
5055,Aveda Arts & Sciences Institute-San Antonio
5056,Skin Science Institute
5057,Pacific Northwest University of Health Sciences
5058,The Chicago School of Professional Psychology at Anaheim
5059,Fortis College-Dothan
5060,Fortis Institute-Pensacola
5061,Fortis College-Montgomery
5062,Woodland Community College
5063,Dorsey School of Business-Roseville Culinary Academy
5064,Fortis Institute-Birmingham
5065,The Chicago School of Professional Psychology at Los Angeles
5066,Cardiac and Vascular Institute of Ultrasound
5067,Studio Academy of Beauty
5068,California Nurses Educational Institute
5069,Paul Mitchell the School-Sacramento
5070,Providence Christian College
5071,Oxford Academy of Hair Design Inc
5072,Institute of World Politics
5073,Pontifical John Paul II Institute for Studies on Marriage and Family
5074,Medical Institute of Palm Beach
5075,Oliver Finley Academy of Cosmetology
5076,National Career College
5077,Aveda Institute-Chicago
5078,Tricoci University of Beauty Culture-Libertyville
5079,Tricoci University of Beauty Culture-Bridgeview
5080,The Temple-A Paul Mitchell Partner School
5081,Center for Massage
5082,Academy of Hair Design-Oklahoma City
5083,Liberty Junior College
5084,Toni & Guy Hairdressing Academy-Cranston
5085,South Texas Training Center
5086,Vermont College of Fine Arts
5087,Advanced Welding Institute
5088,Paul Mitchell the School-Memphis
5089,Pima Medical Institute-East Valley
5090,Paul Mitchell the School-Cleveland
5091,Paul Mitchell the School-Columbus
5092,Empire Beauty School-Lauderhill
5093,Empire Beauty School-Spring Lake Park
5094,MediaTech Institute-Houston
5095,Platt College-Miller-Motte-Raleigh
5096,Lamson Institute
5097,College of Hair Design-East Campus
5098,Fortis College-Salt Lake City
5099,Polytechnic University of Puerto Rico-Miami
5100,Polytechnic University of Puerto Rico-Orlando
5101,Ross Medical Education Center-Fort Wayne
5102,Ross Medical Education Center-Battle Creek
5103,Geisinger Commonwealth School of Medicine
5104,"Josef's School of Hair, Skin & Body-Fargo"
5105,Northeast Technology Center-Claremore
5106,Platt College-McCann-Allentown
5107,Salon Success Academy-Fontana
5108,Salon Success Academy-Redlands
5109,Strayer University-West Virginia
5110,Vanguard College of Cosmetology-Baton Rouge
5111,San Joaquin Valley College-Hesperia
5112,South Texas Vocational Technical Institute-Brownsville
5113,Platt College-STVT-Corpus Christi
5114,University of Minnesota-Rochester
5115,Health And Style Institute
5116,College of Business and Technology-Cutler Bay
5117,Milan Institute-Bakersfield
5118,Homestead Schools
5119,Carrington College-Las Vegas
5120,Carrington College-Reno
5121,Chamberlain University-Florida
5122,Remington College-Columbia Campus
5123,Washington Barber College Inc
5124,InterCoast Colleges-Rancho Cordova
5125,Horizon University
5126,San Diego Culinary Institute
5127,Beyond 21st Century Beauty Academy
5128,Academy for Jewish Religion-California
5129,Angeles College
5130,Angeles Institute
5131,Paul Mitchell the School-Temecula
5132,TIGI Hairdressing Academy Guilford
5133,International Institute of Cosmetology
5134,Florida School of Traditional Midwifery
5135,Emerald Coast Technical College
5136,Immokalee Technical College
5137,American Academy of Cosmetology
5138,University of Fort Lauderdale
5139,Aviation Institute of Maintenance-Orlando
5140,Summit Salon Academy
5141,Summit Salon Academy-Gainesville
5142,Tenaj Salon Institute
5143,Profile Institute of Barber-Styling
5144,Keune Academy by 124
5145,Pacific Rim Christian University
5146,Paul Mitchell the School-Twin Falls
5147,Ambria College of Nursing
5148,Midwestern Career College
5149,Paul Mitchell the School-Normal
5150,Innovations Design Academy
5151,Aveda Fredric's Institute-Indianapolis
5152,Eric Fisher Academy
5153,Blackstone Valley Vocational Regional School District
5154,Southern Worcester County Regional Vocational School District
5155,L'esprit Academy
5156,Marketti Academy of Cosmetology
5157,CenterPoint Massage & Shiatsu Therapy School & Clinic
5158,Avalon School of Cosmetology
5159,American Business and Technology University
5160,City Vision University
5161,Bitterroot School of Cosmetology
5162,Montana Academy of Salons
5163,National Career Institute
5164,Toni & Guy Hairdressing Academy-Albuquerque
5165,International Academy of Style
5166,EDP School
5167,New York Medical Career Training Center
5168,Institute of Culinary Education
5169,The Salon Professional Academy-Tonawanda
5170,Onondaga School of Therapeutic Massage-Syracuse
5171,Academy of Cosmetology and Esthetics NYC
5172,Four County Career Center
5173,Summit Salon Academy-Perrysburg
5174,Portland Actors Conservatory
5175,Somerset County Technology Center
5176,Metro Beauty Academy
5177,Academy for Careers and Technology
5178,Aiken School of Cosmetology and Barbering
5179,Love Beauty School Inc
5180,Houston International College Cardiotech Ultrasound School
5181,DuVall's School of Cosmetology
5182,Advanced Beauty College
5183,Texas Beauty College
5184,Avenue Five Institute
5185,The Salon Professional Academy-Lewisville
5186,Renaissance Academie
5187,Antioch College AG
5188,Institute of Advanced Medical Esthetics
5189,Gary Manuel Aveda Institute
5190,Northwest School of Wooden Boat Building
5191,The Salon Professional Academy-Onalaska
5192,West Coast University-Orange County
5193,West Coast University-Ontario
5194,Midwest Technical Institute-East Peoria
5195,Paul Mitchell the School-Chicago
5196,Dorsey School of Business-Waterford Pontiac
5197,Platt College-Miller-Motte-Fayetteville
5198,European Massage Therapy School-Las Vegas
5199,Platt College-Miller-Motte Technical-Columbus
5200,The Art Institute of Virginia Beach
5201,Zaytuna College
5202,Fortis College-Indianapolis
5203,Empire Beauty School-E Memphis
5204,Empire Beauty School-Nashville
5205,Empire Beauty School-Jackson
5206,Empire Beauty School-Springfield
5207,Empire Beauty School-Paramus
5208,Empire Beauty School-Speedway
5209,Empire Beauty School-Morrow
5210,Strayer University-Arkansas
5211,Strayer University-Georgia
5212,Strayer University-Mississippi
5213,Strayer University-South Carolina
5214,Strayer University-Texas
5215,The Art Institute of San Antonio
5216,Empire Beauty School-S Memphis
5217,Empire Beauty School-Charlotte
5218,Empire Beauty School-Winston-Salem
5219,Empire Beauty School-West Palm
5220,Empire Beauty School-Pineville
5221,Paul Mitchell the School-Phoenix
5222,All Beauty College
5223,Paul Mitchell the School-Modesto
5224,Cosmo Beauty Academy
5225,Paul Mitchell the School-Fresno
5226,Unitek College
5227,Gurnick Academy of Medical Arts
5228,Paul Mitchell the School-East Bay
5229,South University-Richmond
5230,South University-Virginia Beach
5231,Aveda Institute-Denver
5232,Paul Mitchell the School-Colorado Springs
5233,The Salon Professional Academy-Colorado Springs
5234,Paul Mitchell the School-Delaware
5235,Future-Tech Institute
5236,Fred K Marchman Technical College
5237,The Salon Professional Academy-Ft Myers
5238,Universal Spa Training Academy
5239,The Salon Professional Academy-Evansville
5240,Tri County Regional Vocational Technical High School
5241,Compass College of Cinematic Arts
5242,Nova Academy of Cosmetology
5243,SAE Institute of Technology-New York
5244,Sage School of Massage & Esthetics
5245,Peloton College
5246,ABC Beauty Academy
5247,Salon & Spa Institute
5248,American Beauty Academy
5249,Paul Mitchell the School-Milwaukee
5250,Touro University Worldwide
5251,Touro University California
5252,The Chicago School of Professional Psychology at Washington DC
5253,Touro University Nevada
5254,Herzing University-Kenosha
5255,Herzing University-Brookfield
5256,Texas A&M University-San Antonio
5257,Fortis Institute
5258,Southern Careers Institute-Brownsville
5259,Southern Careers Institute-Harlingen
5260,Strayer University-Global Region
5261,Kenneth Shuler School of Cosmetology-Florence
5262,Fortis College-Columbia
5263,Ross Medical Education Center-Davison
5264,Ross Medical Education Center-Granger
5265,Ross Medical Education Center-Niles
5266,Ross Medical Education Center-Canton
5267,Pima Medical Institute-Houston
5268,Illinois Media School-Chicago Campus
5269,Platt College-STVT-San Antonio
5270,Concorde Career College-Dallas
5271,Concorde Career Institute-Orlando
5272,Concorde Career College-San Antonio
5273,Johnson & Wales University-Online
5274,Fairfax University of America
5275,Geisinger-Lewistown Hospital School of Nursing
5276,Moreno Valley College
5277,Onondaga School of Therapeutic Massage-Rochester
5278,Norco College
5279,Dorsey School of Business-Saginaw
5280,Milan Institute of Cosmetology-La Quinta
5281,Milan Institute-Boise
5282,Milan Institute of Cosmetology-El Paso
5283,Universal Technical Institute-Dallas Fort Worth
5284,American School of Nursing and Medical Careers
5285,Harris School of Business-Upper Darby Campus
5286,Artistic Nails and Beauty Academy-Lakeland
5287,American Sentinel University
5288,Hawaii Medical College
5289,Carolina College of Hair Design
5290,Remington College-Heathrow Campus
5291,College of Massage Therapy
5292,Platt College-Miller-Motte-Jacksonville
5293,Platt College-Miller-Motte Technical-Augusta
5294,Platt College-Miller-Motte Technical-Conway
5295,Aveda Institute-Portland
5296,Chamberlain University-Virginia
5297,Penrose Academy
5298,Skin Institute
5299,Beauty Academy of South Florida
5300,Ogle School Hair Skin Nails-North Dallas
5301,The Salon Professional Academy-North Little Rock
5302,The Salon Professional Academy-St Charles
5303,American College for Medical Careers
5304,Mildred Elley-New York Campus
5305,National Paralegal College
5306,Carolina College of Biblical Studies
5307,Northeast Technology Center
5308,Allstate Hairstyling & Barber College
5309,Omega Graduate School
5310,Jung Tao School of Classical Chinese Medicine
5311,New York Film Academy
5312,The Collective School Of Music
5313,International College of Cosmetology
5314,Bella Capelli Academy
5315,Institute of Medical Careers
5316,Flagler Technical College
5317,Galaxy Medical College
5318,American Medical Sciences Center
5319,Mandalyn Academy
5320,Jose Maria Vargas University
5321,American Academy of Health and Beauty
5322,D A Dorsey Technical College
5323,Keweenaw Bay Ojibwa Community College
5324,Meridian Institute of Surgical Assisting
5325,Mauna Loa Helicopters
5326,Acaydia School of Aesthetics
5327,Manhattan Institute
5328,Holistic Massage Training Institute
5329,Diamonds Cosmetology College
5330,Northern Virginia School of Therapeutic Massage
5331,Paul Mitchell the School-St Louis
5332,Advanced Training Institute
5333,Shepherds Theological Seminary
5334,Taylor Andrews Academy of Hair Design-West Jordan
5335,Santa Ana Beauty Academy
5336,Grace College of Divinity
5337,Evolve Beauty Academy
5338,Aveda Institute-New Mexico
5339,American Trade School
5340,Estelle Skin Care and Spa Institute
5341,Paul Mitchell the School-Honolulu
5342,Elite Cosmetology School
5343,American Technical Institute
5344,Bergin University of Canine Studies
5345,Aveda Institute-Boise
5346,Pima Medical Institute-Aurora
5347,Capilo School of Hair Design
5348,Pure Aesthetics Natural Skincare School
5349,Lindsey Institute of Cosmetology
5350,Buckner Barber School
5351,Simmons College of Kentucky
5352,Atelier Esthetique Institute of Esthetics
5353,Advanced College of Cosmetology
5354,North American University
5355,United Beauty College
5356,Cinta Aveda Institute
5357,Long Island Nail Skin & Hair Institute
5358,Keser Torah-Mayan Hatalmud
5359,Southern California Health Institute
5360,Best Care College
5361,First Class Cosmetology School
5362,Millennia Atlantic University
5363,Abcott Institute
5364,The Salon Professional Academy-Kenosha
5365,Paul Mitchell the School-Indianapolis
5366,Taylor Andrews Academy-St George
5367,Protege Academy
5368,Colorado Academy of Veterinary Technology
5369,Northeast Technical Institute
5370,Elite School of Cosmetology
5371,Paul Mitchell the School-Las Vegas
5372,Summit Salon Academy-Kokomo
5373,Florida Academy
5374,Institute for Doctoral Studies in the Visual Arts
5375,State Career College
5376,Academy for Salon Professionals
5377,Paul Mitchell the School-Spokane
5378,International College of Beauty Arts & Sciences
5379,John Paul the Great Catholic University
5380,University of Connecticut-Hartford Campus
5381,Ottawa University-Surprise
5382,Independence University
5383,National American University-Colorado Springs South
5384,Chamberlain University-Missouri
5385,Chamberlain University-Texas
5386,Continental School of Beauty Culture-Mattydale
5387,Carrington College-Ontario
5388,Paul Mitchell the School-Columbia
5389,Paul Mitchell the School-Charleston
5390,Kenneth Shuler School of Cosmetology-Greenville
5391,Northwest College-Eugene
5392,Northwest College-Tualatin
5393,San Joaquin Valley College-Hanford Classroom
5394,CET-Soledad
5395,United Education Institute-UEI College San Marcos
5396,Vanguard College of Cosmetology-Metairie
5397,United Education Institute-Anaheim
5398,New England Tractor Trailer Training School of Massachusetts
5399,Dewey University-Manati
5400,Allen School-Phoenix
5401,Oklahoma Technical College
5402,Midwest Technical Institute-Moline
5403,Unitech Training Academy-Alexandria
5404,Unitech Training Academy-Lake Charles
5405,Aveda Institute-Los Angeles
5406,UEI College-Riverside
5407,WellSpring School of Allied Health-Lawrence
5408,Manuel and Theresa's School of Hair Design-Victoria
5409,Tricoci University of Beauty Culture-Chicago NE
5410,Los Angeles Pacific University
5411,California College San Diego-CollegeAmerica-Phoenix
5412,Avalon School of Cosmetology-Phoenix
5413,Avalon School of Cosmetology-Layton
5414,Aveda Institute-Des Moines
5415,Fortis Institute-Lawrenceville
5416,Relay Graduate School of Education
5417,Platt College-Miller-Motte Technical-Macon
5418,South University-Savannah Online
5419,San Joaquin Valley College-Temecula
5420,Whitworth University-Adult Degree Programs
5421,The Santa Barbara and Ventura Colleges of Law at Santa Barbara
5422,The University of America
5423,"Springfield College-Regional, Online, and Continuing Education"
5424,Marian Health Careers Center-Van Nuys Campus
5425,Milan Institute-Las Vegas
5426,Catholic Distance University
5427,New York School of Esthetics & Day Spa
5428,Panache Academy of Beauty
5429,Finger Lakes Health College of Nursing & Health Sciences
5430,ASI Career Institute
5431,Midwest Technical Institute-Ridgeland
5432,Christine Valmy International School of Esthetics & Cosmetology
5433,City College-Hollywood
5434,Paul Mitchell the School-Arlington
5435,Rocky Mountain University of Health Professions
5436,Christie's Education
5437,Palmetto Beauty School
5438,Paul Mitchell the School-Fort Myers
5439,Paul Mitchell the School-Raleigh
5440,CUNY Stella and Charles Guttman Community College
5441,Lil Lou's Beauty and Barber College
5442,Criswell College
5443,Beverly Hills Design Institute
5444,Reflections Academy of Beauty
5445,UCAS University of Cosmetology Arts & Sciences-La Joya
5446,Annenberg School of Nursing
5447,American Medical Academy
5448,Tooele Technical College
5449,Chamberlain University-Georgia
5450,Chamberlain University-Indiana
5451,Carrington College-Mesquite
5452,Sessions College for Professional Design
5453,Empire Beauty School-Virginia Beach
5454,Ross Medical Education Center-Morgantown
5455,Paul Mitchell the School-Ogden
5456,Miami Ad School-New York
5457,Larry's Barber College
5458,Futura Career Institute
5459,Flair Beauty College
5460,Vogue College of Cosmetology-San Antonio Fredericksburg
5461,Vogue College of Cosmetology
5462,Tomorrow's Image Barber And Beauty Academy of Virginia
5463,College of International Esthetics Inc
5464,Medical Allied Career Center
5465,Bais HaMedrash and Mesivta of Baltimore
5466,Barber & Beauty Institute of New York
5467,Salon Institute-Toledo Campus
5468,Curve Metric School of Hair Design
5469,Athena Career Academy
5470,Yeshiva Gedolah Zichron Leyma
5471,The Barber School
5472,Be'er Yaakov Talmudic Seminary
5473,Rio Grande Valley College
5474,Alexander Academy
5475,Aveda Institute-Tucson
5476,Diamond Beauty College
5477,University Academy of Hair Design
5478,Florida Institute of Recording Sound and Technology
5479,New Dimensions Beauty Academy Inc
5480,Paul Mitchell the School-Reno
5481,Boise Barber College
5482,Austin Kade Academy
5483,Aesthetic Science Institute
5484,Elaine Sterling Institute
5485,Wade Gordon Hairdressing Academy
5486,Mitsu Sato Hair Academy
5487,Florida Vocational Institute
5488,SAE Institute of Technology-Atlanta
5489,Academy di Firenze
5490,SAE Institute of Technology-Miami
5491,Colorado State University-Global Campus
5492,Paul Mitchell the School-Overland Park
5493,Medspa Academies
5494,Brighton Institute of Cosmetology
5495,West Coast University-Dallas
5496,National American University-Bellevue
5497,National American University-Mesquite
5498,Empire Beauty School-Savannah
5499,Ogle School Hair Skin Nails-Denton
5500,Empire Beauty School-West Greensboro
5501,California College San Diego
5502,Jolie Hair and Beauty Academy-Northfield
5503,Bellus Academy
5504,MotoRing Technical Training Institute
5505,Pennsylvania State University-World Campus
5506,Medical Career Institute
5507,Advance Beauty Techs Academy
5508,Elevate Salon Institute-Westminster
5509,Brand College
5510,Hinton Barber and Beauty College
5511,Advanced Career Institute
5512,Digital Film Academy
5513,MyComputerCareer.edu-Raleigh
5514,South University-Austin
5515,Bryant & Stratton College-Online
5516,Ogle School Hair Skin Nails-San Antonio
5517,Minnesota School of Cosmetology-Plymouth Campus
5518,Mercyhurst University-North East Campus
5519,Warner Pacific University Professional and Graduate Studies
5520,Platt College-Riverside
5521,Savannah Law School
5522,Empire Beauty School-Glen Burnie
5523,United Education Institute-UEI College Stockton
5524,Shiloh University
5525,Ross Medical Education Center-Dayton
5526,Ross Medical Education Center-Ontario
5527,Ross Medical Education Center-Bowling Green
5528,Florida Institute of Technology-Online
5529,Rasmussen University-Kansas
5530,Columbia Institute
5531,School of Missionary Aviation Technology
5532,Ace Cosmetology and Barber Training Center
5533,California Miramar University
5534,Rocky Vista University
5535,The College of Health Care Professions-Dallas
5536,The College of Health Care Professions-Fort Worth
5537,Shear Finesse Beauty Academy
5538,Miami Media School
5539,Academy of Salon Professionals
5540,CyberTex Institute of Technology
5541,New England Tractor Trailer Training School of CT-Bridgeport
5542,Gemini School of Visual Arts & Communication
5543,Designer Barber & Stylist School
5544,Paul Mitchell the School-Woodbridge
5545,College of the Muscogee Nation
5546,The Salon Professional Academy-Huntsville
